Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301800762/,11000000,297297,37,5,19,1,False,2017,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301799226/,8990000,281818,31.9,24,25,0,True,2017,7,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301797595/,10700000,382143,28,11,23,0,True,2021,2,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301796820/,12550181,299527,41.9,11,16,2,False,2024,9,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301796803/,4985475,353580,14.1,7,16,0,True,2026,23,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301794136/,8500000,240113,35.4,6,16,1,False,2023,14,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301792543/,18900000,216992,87.1,2,9,3,False,2017,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301792451/,10000000,194932,51.3,14,14,1,False,2015,7,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301790032/,7659245,371808,20.6,8,18,0,True,2026,8,НАО (Новомосковский),Мосрентген поселение
https://www.cian.ru/sale/flat/301789995/,10979136,282240,38.9,4,16,2,False,2026,8,НАО (Новомосковский),Мосрентген поселение
https://www.cian.ru/sale/flat/301789800/,9730000,293072,33.2,23,27,2,False,2016,7,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301789177/,11400000,253333,45,5,16,1,False,2014,18,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301789027/,20500000,334421,61.3,15,25,2,False,2014,6,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301789021/,9870000,244307,40.4,2,17,1,False,2015,3,НАО (Новомосковский),Воскресенское поселение
https://www.cian.ru/sale/flat/301788337/,23000000,273810,84,2,3,3,False,2015,19,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301787431/,9500000,185185,51.3,6,11,2,False,2023,15,НАО (Новомосковский),Рязановское поселение
https://www.cian.ru/sale/flat/301786964/,6700000,274590,24.4,14,15,0,True,2023,19,НАО (Новомосковский),Кокошкино дп
https://www.cian.ru/sale/flat/301786201/,6800000,279835,24.3,13,15,0,True,2023,19,НАО (Новомосковский),Кокошкино дп
https://www.cian.ru/sale/flat/301786113/,9000000,321429,28,14,24,1,False,2023,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301786105/,7300000,248299,29.4,1,14,0,True,2019,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301786090/,8382000,344938,24.3,11,12,0,True,2024,14,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301786077/,12800000,193353,66.2,2,9,3,False,2024,7,НАО (Новомосковский),Завода Мосрентген поселок
https://www.cian.ru/sale/flat/301785230/,26900000,320238,84,10,15,2,False,2015,5,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301785087/,10500000,262500,40,16,16,1,False,2015,3,НАО (Новомосковский),Воскресенское поселение
https://www.cian.ru/sale/flat/301784772/,6900000,191720,35.99,2,10,1,False,2024,17,НАО (Новомосковский),Кокошкино поселение
https://www.cian.ru/sale/flat/301783819/,3900000,164557,23.7,1,7,0,True,2021,7,НАО (Новомосковский),Марушкинское поселение
https://www.cian.ru/sale/flat/301783449/,12200000,229323,53.2,8,14,2,False,2024,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301783323/,10670000,205192,52,3,12,2,False,2019,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301783322/,9300000,166369,55.9,5,7,2,False,2019,16,НАО (Новомосковский),Марушкинское поселение
https://www.cian.ru/sale/flat/301783320/,9300000,242820,38.3,14,14,1,False,1972,6,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301782858/,17200000,318519,54,9,15,2,False,2020,11,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301781287/,8600000,209756,41,11,18,1,False,2016,5,НАО (Новомосковский),Кокошкино дп
https://www.cian.ru/sale/flat/301779914/,6161342,276293,22.3,9,9,0,True,2025,20,НАО (Новомосковский),Кокошкино поселение
https://www.cian.ru/sale/flat/301779521/,15700000,261667,60,6,10,3,False,2024,9,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301779017/,10000000,266667,37.5,5,6,1,False,2017,20,НАО (Новомосковский),Сосенское поселение
